category,text
tech,ban hits half-life 2 pirates hard about 20 000 people have been banned from playing the half-life 2 game.  game maker valve shut down the online accounts of the players because it had evidence that their copy of the game had been obtained illegally. copies of half-life 2 had been circulating on file-sharing systems soon after it was officially released. experts said the success of the half-life 2 anti-piracy system might tempt other game makers into creating their own version.  half-life 2 was officially released on 16 november but before gamers could get to grips with the long-awaited title they were forced to authenticate their copy of the game online. authentication involved setting up an account with valve s gaming community system called steam and letting that check which copy of the game was being run.  in a statement detailing the banning of the accounts valve said this system helped identify who had got hold of pirated copies.  the method used was extremely easy for valve to trace and confirm  and so there is no question that the accounts disabled were used to try and illegally obtain half-life 2   read the statement. valve spokesman doug lombardi said that the company had not yet released sales figures for the game and would not say what proportion of all steam players the 20 000 represented. one effect of steam s popularity has been to limit the copies of the game sold in shops and artificially depress the game s ranking in the top ten. even so the title debuted at no 3 in the uk charts. valve also said that a small number of accounts were closed because people were using stolen credit cards to buy copies of the game or were using stolen steam accounts. some of those who have been banned by the move protested their innocence in the online forums on the main steam site and said they were being punished for what other people did with their account.  some contributors to the forums wondered if the action might force more piracy as people tried to get hold of successive copies of the game to keep ahead of valve s anti-piracy actions.  in its statement valve also said that rumours that it distributed fake half-life 2 keys  copies of the game or instructions on how to hack the game  just to catch pirates and cheats were false. the company said:  the hack came from the  community  as do they all.  it added that most of those banned simply tried to use copies of half-life 2 circulating on file-swapping systems such as bit torrent rather than use hacks to get around the need for cd keys. rob fahey  editor of online news site gamesindustry.biz  said the mass banning showed off the power of the steam system. before now  he said  it has been hard for game makers to do anything about piracy once the game was being played.  but with this  valve is taking really effective steps against people using illegitimate copies of half-life 2   he said. if steam proves effective at cutting the piracy of games to a minimum  said mr fahey  other game makers may be tempted to set up copycat systems.  it s not hard to see a point in the near future when every publisher wants you to run an application on your system purely to allow you to play their games   he said. this could mean that computers get cluttered with poorly written steam-type systems that are used to batter people with adverts. unless game firms were careful  he said  they could face a backlash from consumers who soon get tired of maintaining different accounts for every game they play.
sport,dominici backs lacklustre france wing christophe dominici says france can claim another six nations grand slam despite two lacklustre wins so far against scotland and england.  the champions only just saw off the scots in paris  then needed england to self-destruct in last week s 18-17 win.  the english played better than us but lost  whereas we are still in the race for the grand slam   said dominici.  we know our display was not perfect  but we can still win the grand slam  along with ireland and wales.  france   ireland and wales all remain unbeaten after two rounds of this year s rbs six nations  with the two celtic nations playing by far the more impressive rugby.  france take on wales at the stade de france on 26 february and ireland in dublin on 12 march. but although france have yet to click  dominici says that they can still win the hard way as long as scrum-half dimitri yachvili continues in his goalkicking form.  if we have an efficient kicker on whom we can rely on  a solid defence and a team who play for their lives  we can achieve something   dominici added.  i said at the start of the competition that the winners would be clearer from the third matches  and that s exactly what is going to happen.  france coach bernard laporte will announce his starting line-up next tuesday for the match against wales.  wing jimmy marlu is definitely out with the knee injury sustained at twickenham  which is likely to sideline him for the rest of the tournament. inspirational flanker serge betsen is a doubt with a thigh injury  but number eight imanol harinordoquy has shaken off his shoulder injury. in the backs  centre yannick jauzion and winger aurelien rougerie are all back in contention after injury  while brive back julien laharrague has received his first call-up as a replacement for pepito elhorga.
entertainment,eurovision  greats  to do battle stars of the eurovision song contest from the show s 50-year history are to compete against each other to celebrate the contest s anniversary.  viewers will choose 14 past songs to be performed by the original artists or others in the spirit of the originals. past eurovision performers include abba  celine dion  bucks fizz  nana mouskouri  lulu and julio iglesias. fans will then vote as usual to pick the all-time best eurovision song during the show in denmark in october. the first contest was organised by the european broadcasting union  or ebu  in 1956  and has become an annual event pitting pop giants against musical minnows - with often surprising results.  while some regard it as an essential celebration of continental talent  others see it as an equally unmissable parade of the reasons some countries do not normally produce international stars. the 50th annual contest will be held in kiev  ukraine  in may  after ukrainian singer ruslana won last year. the 50th anniversary special will be held in denmark later this year because the danish broadcasting corporation came up with the idea for the all-time contest. a plan to hold it in london was scrapped because of problems finding a suitable venue. ireland has been the most successful country in the show s history with seven victories  followed by the uk  france and luxembourg with five each.
tech,france starts digital terrestrial france has become the last big european country to launch a digital terrestrial tv (dtt) service.  initially  more than a third of the population will be able to receive 14 free-to-air channels. despite the long wait for a french dtt roll-out  the new platform s backers hope to emulate the success of its uk free-to-air counterpart  freeview. recent figures from the uk s regulator ofcom showed freeview was more popular than the sky digital satellite service. in the three months to september 2004  almost five times as many people signed up to the uk s free-to-air dtt service compared with sky. almost 60% of uk households have gone digital on at least one television set through cable  satellite or freeview.  the french dtt platform is known as tnt  which stands for tv numerique terrestre or digital terrestrial television. but it is being branded as television numerique pour tous  or  digital television for all . tnt is a joint venture between public broadcaster france televisions and a handful of cable and satellite operators. digital terrestrial tv will launch as a free-to-air platform to start with  adding pay-tv channels later. thirty-five contenders have bid for an additional eight frequencies on top of the 14 already allocated.  a couple of years ago  dtt had a bad image   said olivier gerolami  chief operating officer of tnt.   but everyone s impressed with dtt in the uk  italy and germany  and they realise it is a very good idea.  france is the poorest market in europe in terms of free-to-air national channels  so it has the potential to be one of the biggest dtt markets   mr gerolami added in remarks quoted by the us entertainment industry paper variety. tnt aims to reach 35% of france s population at launch  from 17 transmission sites. the transmission area will initially include paris  lille  lyon and toulouse. eventually there will be 115 sites reaching over 80% of homes. digital terrestrial set-top boxes are available from as little as 70 euros (£50). a recent survey by mediametrie found that 70% of people interviewed were aware of dtt  and 25% were planning to buy a digital receiver. consumer electronics companies such as nokia  sagem  sony and thomson are gearing up for production. the conseil superieur de l audiovisuel (csa)  the french broadcasting regulator  said:  following the recent success of freeview in the uk  some manufacturers are optimistic about sales prospects . media analysts believe that initially the majority of viewers will buy inexpensive set-top boxes that are unable to support interactive services. the csa said the current aim of reaching 85% of the population by 2007 was achievable  but the future of the remaining tv viewers required action by the public sector. for the most part  they are people living in mountainous or border areas  which will remain beyond the reach of digital terrestrial tv for years.  up to 15 pay-tv channels will launch on dtt between september 2005 and march 2006. leading pay-tv operators canal plus and tps have submitted bids to market bouquets of channels. free-to-air services will be broadcast in mpeg-2 format. but pay-tv operators will be allowed to broadcast in mpeg-4 - a much better compression technology - which will potentially allow for high-definition (hd) subscription services in the future. tnt expects between 700 000 and one million dtt set-top boxes to be sold in 2005.  it is difficult to tell how quickly it will take off   said mr gerolami   but we re optimistic that it will revolutionise television in france.  other analysts were less optimistic  predicting consumers would now be less likely to sign up for pay-tv subscriptions.  we think free dtt could put brakes on the underlying growth of pay-tv in france   said henri de bodinat  vice-president of the arthur d. little consultancy.
tech,why cell will get the hard sell the world is casting its gaze on the cell processor for the first time  but what is so important about it  and why is it so different   the backers of the processor are big names in the computer industry. ibm is one of the largest and most respected chip-makers in the world  providing cutting edge technology to large businesses. sony will be using the chip inside its playstation 3 console  and its dominance of the games market means that it now has a lot of power to dictate the future of computer and gaming platforms. the technology inside the cell is being heralded as revolutionary  from a technical standpoint. traditional computers - whether they are household pcs or playstation 2s - use a single processor to carry out the calculations that run the computer. the cell technology  on the other hand  uses multiple cell processors linked together to run lots of calculations simultaneously.  this gives it processing power an order of magnitude above its competitors. whilst its rivals are working on similar technology  it is sony s which is the most advanced. the speed of computer memory has been slowly increasing over the last few years  but the memory technology that accompanies the cell is a huge leap in performance.  using a technology called xdr  created by american firm rambus  memory can run up to eight times faster than the current standard being promoted by intel. perhaps more important than any of the technology is the cell s role in the imminent  war on living rooms . the big trend predicted for this year is the convergence of computers with home entertainment devices such as dvd players and hi-fis. companies like microsoft and sony believe that there is a lot of money to be made by putting a computer underneath the tv of every household and then offering services such as music and video downloads  as well as giving an individual access to all the media they already own in one place.  microsoft has already made its first tactical move into this area with its windows media center software  which has been adopted by many pc makers. sony had a stab at something similar with the psx - a variation on the playstation - last year in japan  although this attempt was generally seen as a failure. both companies believe that increasing the capabilities of games consoles  to make them as powerful as pcs  will make the technology accessible enough to persuade buyers to give them pride of place on the video rack.  sony and ibm want to make sure that the dominance of the pc market enjoyed by microsoft and intel is not allowed to extend to this market. by creating a radically new architecture  and using that architecture in a games console that is sure to be a huge seller  they hope that the cell processor can become the dominant technology in the living room  shutting out their rivals. once they have established themselves under the tv  there is no doubt that they hope to use this as a base camp to extend their might into our traditional pcs and instigate a regime change on the desktop. cell is  in fact  specifically designed to be deployed throughout the house. the links between the multiple processors can also be extended to reach cell processors in entirely different systems.  sony hopes to put cells in televisions  kitchen appliances and anywhere that could use any sort of computer chip. each cell will be linked to the others  creating a vast home network of computing power. resources of the cells across the house can be pooled to provide more power  and the links can also be used to enable devices to talk to each other  so that you can programme your microwave from your tv  for example. this digital home of the future depends on the widespread adoption of the cell processor and there are  as with all things  a number of reasons it could fail. because the processor is so different  it requires programmers to learn a different way of writing software  and it may be that the changeover is simply too difficult for them to master. you can also guarantee that microsoft and intel are not going to sit around and let cell take over home computing without a fight. microsoft is going to be pushing its xbox 2 as hard as possible to make sure that its technology  not sony s  will be under your tree next christmas. intel will be furiously working on new designs that address the problems of its current chips to create a rival technology to cell  so that it doesn t lose its desktop pc dominance. if cell succeeds in becoming the living room technology of choice  however  it could provide the jump-start to the fully digital home of the future. the revolution might not be televised  but it could well be played with a videogame controller.
business,brazil jobless rate hits new low brazil s unemployment rate fell to its lowest level in three years in december  according to the government.  the brazilian institute for geography and statistics (ibge) said it fell to 9.6% in december from 10.6% in november and 10.9% in december 2003. ibge also said that average monthly salaries grew 1.9% in december 2004 from december 2003. however  average monthly wages fell 1.8% in december to 895.4 reais ($332; £179.3) from november. tuesday s figures represent the first time that the unemployment rate has fallen to a single digit since new measurement rules were introduced in 2001. the unemployment rate has been falling gradually since april 2004 when it reached a peak of 13.1%. the jobless rate average for the whole of 2004 was 11.5%  down from 12.3% in 2003  the ibge said.  this improvement can be attributed to the country s strong economic growth  with the economy registering growth of 5.2% in 2004  the government said. the economy is expected to grow by about 4% this year. president luiz inacio lula da silva promised to reduce unemployment when he was elected two years ago. nevertheless  some analysts say that unemployment could increase in the next months.  the data is favourable  but a lot of jobs are temporary for the (christmas) holiday season  so we may see slightly higher joblessness in january and february   julio hegedus  chief economist with lopes filho & associates consultancy in rio de janeir  told reuters news agency. despite his leftist background  president lula has pursued a surprisingly conservative economic policy  arguing that in order to meet its social promises  the government needs to first reach a sustained economic growth. the unemployment rate is measured in the six main metropolitan areas of brazil (sao paolo  rio de janeiro  belo horizonte  recife  salvador and porto alegre)  where most of the population is concentrated.
sport,slovakia seal hopman cup success slovakia clinched the hopman cup for the second time by beating argentina 3-0 in saturday s final in perth.  daniela hantuchova put the third seeds ahead  recovering from a terrible start to beat gisela dulko 1-6 6-4 6-4. dominik hrbaty  who had not lost a set in his three singles matches in the group stages  then upset world number seven guillermo coria 6-4 6-1. hantuchova and hrbaty then won the mixed doubles after coria was forced to withdraw because of a sore back. slovakia s win made up for last year s final defeat to the united states.  i would like to congratulate daniela   hrbaty said.  i was so nervous watching her today  i almost had a heart attack.  i also feel a little sorry for guillermo because i get very excited whenever i play for my country. i show lots of emotions and played such good tennis.   world number 31 hantuchova  ranked two places above dulko  looked nervous as she dropped the first four games of the match. dulko  who had lost all three of her singles matches in the group stages  grew in confidence and took the opening set in just 27 minutes. but hantuchova hit back to take the next two and the match.  i was so nervous because i really wanted to win for the team and for dominik as he played so well all week   she said.  i didn t think i was playing my best but i just tried to hang in there and fight hard for every point for my country.  slovakia won the cup on their first appearance in 1998 when karol kucera and karina habsudova beat france.
entertainment,bbc  should allow more scrutiny  mps have urged the bbc to give watchdogs more freedom to scrutinise how £2bn in licence fee money is spent.  the public accounts committee called for the national audit office to be given a  free hand  to investigate how the bbc offers value for money. although six areas are to be opened up to scrutiny the audit office should have more power to choose what it investigated  the mps said. the call was made in a report into the bbc s freeview digital service.  our aim is not to rewrite the storyline of eastenders but simply to ensure that the bbc is as accountable to parliament as any other organisation spending public money   said the committee chairman  mp edward leigh.  the bbc s spending is not subject to the full independent scrutiny  and accountability to parliament.  parliament requires television owners to pay a licence fee and expects the comptroller and auditor general  on behalf of parliament  to be able to scrutinise how that money  over £2 billion a year  is used.   a bbc spokeswoman said:  we share the committee s interest in ensuring the public money we receive is spent well. though in its infancy  we think the arrangements with the nao are working well and should be given time to mature.  the report said the freeview digital service has had an  impressive  take up since its launch but the bbc must still dispel confusion about the service. the committee found the bbc had succeeded in ensuring subscription-free access to digital channels following the collapse of itv digital in 2002. but the fact that one in four homes could not access freeview remained a problem.  the report said that while gaps in the coverage were largely due to landscape issues  there was need for detailed explanations on the freeview website and on promotional literature as to why it was not available in specific areas. the government has proposed switch off of the analogue television signal  with 2012 the most recently proposed date. the bbc launched freeview in 2002 as an alternative to satellite subscription services such as sky  to allow its digital channels such as bbc three and news 24 to be seen. there have been an estimated five million freeview set-top boxes sold since the launch and prices have fallen considerably. the corporation plans to spend up to £138m on freeview before 2014 to ensure people can receive the service throughout the uk  and are aware of it.
tech,slimmer playstation triple sales sony playstation 2 s slimmer shape has proved popular with uk gamers  with 50 000 sold in its first week on sale.  sales have tripled since launch  outstripping microsoft s xbox  said market analysts chart-track. the numbers were also boosted by the release of the ps2-only game grand theft auto: san andreas. the title broke the uk sales record for video games in its first weekend of release. latest figures suggest it has sold more than 677 000 copies.   it is obviously very  very encouraging for sony because microsoft briefly outsold them last week   john houlihan  editor of computerandvideogames.com told bbc news.  and with halo 2 [for xbox] out next week  it really is a head-to-head contest between them and xbox.   although xbox sales over the last week also climbed  ps2 sales were more than double that. the figures mean sony is reaching the seven million barrier for uk sales of the console. edinburgh-based developer  rockstar  which is behind the gta titles  has seen san andreas pull in an estimated £24m in gross revenues over the weekend. in comparison  blockbuster films like harry potter and the prisoner of azkaban took £11.5m in its first three days at the uk box office. the lord of the rings: the return of the king took nearly £10m over its opening weekend  although games titles are four to five times more expensive than cinema tickets.  gangster-themed gta san andreas is the sequel to grand theft auto vice city which previously held the record for the fastest-selling video game ever. the xbox game halo 2  released on 11 november in the uk  is also widely tipped to be one of the best-selling games of the year. the original title won universal acclaim in 2001  and sold more than four million copies.  mr houlihan added that sony had done well with the ps2  but it definitely helped that the release of san andreas coincided with the slimline ps2 hitting the shelves. the run-up to christmas is a huge battlefield for games consoles and titles. microsoft s xbox had been winning the race up until last week in sales. the sales figures also suggest that it may be a largely adult audience driving demand  since gta san andreas has an 18 certificate. sony and microsoft have both reduced console prices recently and are preparing the way for the launches of their next generation consoles in 2005.  both have hit crucial price points at around £100 and that really does open up new consoles to new audience  plus the release of two really important games in terms of development are also driving those sales   said mr houlihan.
sport,wasps 31-37 leicester leicester withstood a stunning wasps comeback to win a pulsating heineken cup encounter at the causeway stadium.  the tigers stormed 22-6 ahead within 18 minutes through tries from lewis moody  geordan murphy and martin corry. european champions wasps fought back through a josh lewsey try and mark van gisbergen s boot  and they were level at 31-31 with five minutes remaining. but it was the visitors who kept their cool as andy goode kicked the tigers to victory with a penalty and a drop goal. the closing moments saw desperate defence from leicester as wasps turned down several penalties to go for the try they needed. wasps pounded the line and a penalty try looked likely before referee nigel williams controversially blew for full-time. fly-half goode was the tigers hero  kicking 22 points in total  while leicester s overwhelming domination in the scrums ultimately told. even their lack of discipline in defence - which presented the admirable van ginsberg with 26 points - could not undo them as they held out for a famous win.  lawrence dallaglio s team have now got it all to do in the quest for a quarter-final place given that two of their last three games are away - against leicester and biarritz. however  wasps rugby director warren gatland warned his side will will not relinquish their european title without a fight.  if we lose next week  then we are struggling   said gatland.  but we don t want to give this trophy away. we worked so hard to win it last season  we will go down fighting.  we have got to get our scrum right next week  it is the biggest cause for concern.  leicester coach john wells saluted the outstanding work of graham rowntree and julian white  who were magnificent up front.  they were the backbone of our performance today   said wells.  and to score three tries against the european champions at home was also something i am pleased about.   van gisbergen; lewsey  erinle  abbott  voyce; king  dawson; dowd  greening  green; shaw  birkett; worsley  o connor  dallaglio (capt).  replacements: gotting  mckenzie  lock  hart  biljon  brooks  hoadley.  murphy; rabeni  smith  gibson  healey; goode  ellis; rowntree  chuter  white  m johnson (capt)  l deacon; moody  back  corry.  replacements (from): buckland/cockerill  morris  kay  w johnson/b deacon  h tuilagi  bemand  a tuiliagi  lloyd  vesty.
sport,gardener wins double in glasgow britain s jason gardener enjoyed a double 60m success in glasgow in his first competitive outing since he won 100m relay gold at the athens olympics.  gardener cruised home ahead of scot nick smith to win the invitational race at the norwich union international. he then recovered from a poor start in the second race to beat swede daniel persson and italy s luca verdecchia. his times of 6.61 and 6.62 seconds were well short of american maurice greene s 60m world record of 6.39secs from 1998.  it s a very hard record to break  but i believe i ve trained very well   said the world indoor champion  who hopes to get closer to the mark this season.  it was important to come out and make sure i got maximum points. my last race was the olympic final and there was a lot of expectation.  this was just what i needed to sharpen up and get some race fitness. i m very excited about the next couple of months.   double olympic champion  marked her first appearance on home soil since winning 1500m and 800m gold in athens with a victory. there was a third success for britain when  edged out russia s olga fedorova and sweden s jenny kallur to win the women s 60m race in 7.23secs. maduaka was unable to repeat the feat in the 200m  finishing down in fourth as  took the win for russia. and the 31-year-old also missed out on a podium place in the 4x200m relay as the british quartet came in fourth  with russia setting a new world indoor record. there was a setback for jade johnson as she suffered a recurrence of her back injury in the long jump. russia won the meeting with a final total of 63 points  with britain second on 48 and france one point behind in third.  led the way for russia by producing a major shock in the high jump as he beat olympic champion stefan holm into second place to end the swede s 22-event unbeaten record.  won the triple jump with a leap of 16.87m  with britain s tosin oke fourth in 15.80m.  won the men s pole vault competition with a clearance of 5.65m  with britain s nick buckfield 51cm adrift of his personal best in third. and  won the women s 800m  with britain s jenny meadows third. there was yet another russian victory in the women s 400m as  finished well clear of britain s catherine murphy. chris lambert had to settle for fourth after fading in the closing stages of the men s 200m race as sweden s  held off leslie djhone of france. france s  won the men s 400m  with brett rund fourth for britain.  took victory for sweden in the women s 60m hurdles ahead of russia s irina shevchenko and britain s sarah claxton  who set a new personal best. italy grabbed their first victory in the men s 1500m as  kicked over the last 200 metres to hold off britain s james thie and france s alexis abraham. a botched changeover in the 4x200m relay cost britain s men the chance to add further points as france claimed victory.
business,japan s ageing workforce: built to last in his twenties he battled tuberculosis for eight years  then went on to run his own clothing business before marrying in his late thirties. and the 101-year-old torao toshitsune has eaten raw fish pretty much every day throughout his life.  mr toshitsune is one of japan s 23 000 centenarians - a club that is growing by 13% annually  and where the oldest member is 114. at his neat osaka detached house  where he lives with one of his sexagenarian daughters  mr toshitsune keeps a regular routine of copying out buddhist sutras and preparing the traditional japanese tea ceremony. between tasks  this remarkably active senior citizen reveals what his next goal is:  well  what s most important for me is to be japan s number one.  mr toshitsune wants to outlive everyone. and when it comes to longevity  japan  as a country  appears to be doing just that. women can expect to live until 85  men until 78  four years longer than americans and europeans.  on the outskirts of kyoto  83-year-old yuji shimizu contemplates this phenomenon during a round of golf with his younger friends  who are in their seventies.   i think this is because the food industry and the environment have improved   he remarks.  on average  we can live longer.  whether it s the diet  or the traditional family structure where roles were clearly defined  or just something in the genes  japan s elderly are remarkable. but while life may be a game of golf for mr shimizu  his grandchildren have huge problems ahead. japan is the world s least fertile nation with childbirth rates of just two thirds of that in the us.  by 2007  japan s population is expected to peak at 127 million  then shrink to under 100 million by the middle of the century. this means 30 million fewer workers at a time when the number of elderly will have almost doubled.   in the year 2050  if the birth rate remains the same people over 60 will make up over 30% of the population   explains shigeo morioka of the international longevity centre in tokyo. so how will japan s finances stay on track  after a decade of economic stagnation and huge deficit spending  the public sector debt is already about 140% of the country s gross domestic product (gdp)  the highest rate among industrialised countries. the international monetary fund predicts that as the falling birth rate takes grip from 2010  the cost of running japan s welfare state will double to more than 5% of gdp  while current account balances will deteriorate by over 2%. but unfortunately  japan appears poorly prepared both financially and politically. glen wood  vice president of deutsche securities japan  asks;  who s going to fund the pension fund for the next generation and indeed who are going to be the new japanese worker   who is going to build the economy  who are going to be the leaders  who are going to be the producers of the gdp going forward   one option is further welfare reform. another is immigration  possibly from the philippines and indonesia. but so far  any emerging policy appears restricted to a limited number of nursing staff.  standing next to tokyo harbour is a version of new york s statue of liberty. but  as yet  japan is not ready for an ellis island.   japan has never really liked that option in its history and i think it s an option that s becoming more and more plausible and necessary   insists mr wood. in japan  as in europe which also faces a workforce decline  immigration is a very sensitive subject. but for the japanese economy  facing 8% fewer consumers by 2050 means slumping domestic sales of cars  hi-tech kit and home appliances  perhaps even another property crash.  of course the japanese could always have more children. the government is currently considering financial rewards for procreative couples similar to those in operation in australia. but there would be no pay back until 2030  when today s babies are taxpayers  and the demographic crisis  like in europe  starts to unfold in 2010. in contrast to japan - and of course the european union - the us population is expected to increase by 46% to 420 million by the middle of the century. although president bush must re-devise social security to take account of a 130% rise in america s over 65s  the imf foresees a positive contribution to the us current account balance from the combined forces of fertility and immigration.  some voices in japanese industry are calling for radical changes to the nature of the japanese labour market. they want a shift towards financial services  though doubts persist over the country s ability  let alone willingness  to move away from manufacturing.  japan still has problems getting a viable banking system  let alone shifting their auto business or their semi-conductor business or the broad based tech manufacturing business overseas   says mr wood. japan can either drive some radical reforms or else run the risk of a vicious ageing recession. falling demand and a lower tax take could result in soaring budget pressures and a basket case currency. come 2020  japan could be more dependent on a shrinking workforce than any other industrialised power. there are fears that the world s number two economy is doomed to a permanent recession. but none of this is mr toshitsune s concern anymore. at 101  he chuckles that  he feels fine.
entertainment,prince crowned  top music earner  prince earned more than any other pop star in 2004  beating artists such madonna and elton john in us magazine rolling stone s annual list.  the singer banked $56.5m (£30.4m) from concerts  album and publishing sales with his musicology tour and album. he kept madonna in second place  as she earned $54.9m (£29.5m) while embarking on her global re-invention tour. veterans simon and garfunkel were in 10th place  their comeback tour helping them earn $24.9m (£13.4m) last year.   prince returned to centre stage after a decade in the commercial wilderness   the magazine reported. the singer s 2004 tour took $90.3m (£48.5m) in ticket sales and he sold 1.9 million copies of his latest album musicology.  although she grossed more than prince last year  madonna remained in second place because of the  monumental  production costs of her tour. heavy metal band metallica s madly in anger with the world tour helped push their 2004 earnings up to $43.1m (£23.1m). they were ahead of sir elton john  who took fourth place and almost $42.7m (£23m) from performances including a debut on the las vegas strip. other seasoned performers in the list included rod stewart  whose sold-out shows and third volume of the great american songbook covers album helped net him £35m (£19m). the highest-ranking rap act in the list was 50 cent  who at number 19 took $24m (£13m) to the bank.
business,uk economy ends year with spurt the uk economy grew by an estimated 3.1% in 2004 after accelerating in the last quarter of the year  says the office for national statistics (ons).  the figure is in line with treasury and bank of england forecasts. the ons says gross domestic product (gdp) rose by a strong 0.7% in the three months to 31 december  compared with 0.5% in the previous quarter. the rise came despite a further decline in production output and the worst christmas for retailers in decades.  the annual figure marked out the best year since 2000  and was also well ahead of the 2.2% recorded in 2003. growth in the final three months of 2004 marked the 50th consecutive quarter of expansion.  on the basis of the latest information the uk has entered 2005 on course to continue its record period of growth   said paul boateng  chief secretary to the treasury in a statement.  the ons said the services sector  which accounts for nearly three-quarters of the uk economy  grew 1.0% in the quarter. the strong services figure was welcomed by analysts  given lacklustre retail sales in december and across the christmas holiday period.  the fact that other services components are doing so well suggests to me that we are back to trend (growth) and i am not particularly concerned about any further slowdown   said ross walker  uk economist at rbs financial markets.  however  output in the production sector contracted 0.5%  the second quarterly fall in row and a state of affairs that some economists classify as a recession. however the ons would not comment on the definition of a recession and whether the manufacturing recovery was over. but steve radley  chief economist at the manufacturers  organisation eef  said:  these figures remain at odds with what is actually happening on the ground.  whilst companies may be experiencing tougher conditions this year   recession  is not a word that manufacturers would currently recognise.  the ons said a sharp fall in mining and quarrying  which was driven by oil and gas extraction  was primarily responsible for the overall contraction in manufacturing production figures.  simon rubinsohn  chief economist at gerrard  said:  this outturn (of 0.7%) was well ahead of the market expectations and cast doubt on the scare stories doing the rounds surrounding the current state of the uk economy.  and he said the gdp figures may help to  push interest rate expectations a little higher along the curve .  the suggestion from the money markets is that the next move is now more likely to be in an upward rather than a downward direction. this is consistent with our own thinking   said mr rubinsohn. the bank of england s nine-strong rate-setting committee voted unanimously earlier this month to keep interest rates steady at 4.75%  minutes of the meeting showed on wednesday.
business,q&a: malcolm glazer and man utd the battle for control of manchester united has taken another turn after the club confirmed it had received a fresh takeover approach from us business tycoon malcolm glazer.  no formal offer has been made yet  but manchester united have confirmed they have received a  detailed proposal  from the us entrepreneur which could lead to a bid. reports have put the offer at 300p per share  which would value manchester united at about £800m ($1.5bn). the approach by the 76-year-old owner of the tampa bay buccaneers american football team is reportedly being led by his two sons  avi and joel. a previous approach to the united board by mr glazer in october last year was turned down. however  the bbc has learnt that the club is unlikely to reject the latest plan out of hand.  mr glazer s previous offer involved borrowing large amounts of money to finance any takeover. that would have left the club with debt levels which were deemed  not... in the best interests of the company  by manchester united s board when they rejected his approach last year. however  mr glazer s latest offer is reported to have cut the amount of borrowing needed by £200m.  while united s board may be casting a serious eye over mr glazer s latest proposals  supporters remain fiercely opposed to any deal.  supporters  group shareholders united - which has proved adept in rallying opposition to mr glazer s campaign - said it would fight any move.  manchester united are a debt-free company. we don t want to fall into debt and we don t need to fall into debt   shareholders united s sean bones told the bbc. united s players also appear unhappy at the prospect of a takeover.  a lot of people want the club s interest to be with people who have grown up with the club and got its interests at heart   rio ferdinand told bbc radio five live.  no-one knows what this guy will be bringing to the table.   the key to any successful bid will be attracting the support of united s largest shareholders  the irish horse racing tycoons john magnier and jp mcmanus. through their cubic expression vehicle they own 28.9% of the club. mr glazer owns 28.1%. joe mclean  a football specialist at accountancy firm grant thornton  said the support of mr magnier and mr mcmanus was  utterly crucial .  mr glazer s bid will not proceed without their support and they have previously indicated that they are holding their stake as an investment.  if that s the case  the shares will therefore need a price attachment of about 300 pence  maybe 305.  if that s the case then mr glazer might well secure their support - if he does  this bid could well go ahead.   indeed it is. malcolm glazer was little-known in the uk until he started to build up his stake in manchester united in late 2003. in february 2004 he said he was  considering  whether to bid for the club. no bid emerged  but mr glazer continued to increase his holding in the club. in october 2004  manchester united said they had received a  preliminary approach   which turned out to have come from mr glazer. however  the board rejected the move because of the amount of debt it would involve. at the club s annual general meeting in november  mr glazer took revenge by using his hefty stake in the club to oust three directors from the board. legal adviser maurice watkins  commercial director andy anson and non-executive director philip yea were voted out  against the wishes of chief executive david gill. but the move led to bankers jp morgan and public relations firm brunswick withdrawing from the glazer bid team.
business,japan bank shares up on link talk shares of sumitomo mitsui financial (smfg)  and daiwa securities jumped amid speculation that two of japan s biggest financial companies will merge.  financial newspaper nihon keizai shimbun claimed that the firms will join up next year and already have held discussions with japanese regulators. the firms denied that they are about to link up  but said they are examining ways of working more closely together. smfg shares climbed by 2.7% to 717 000  and daiwa added 5.3% to 740 yen.  combining smfg  japan s third-biggest lender  and daiwa  the country s second-largest brokerage firm  would create a company with assets of more than $1 000bn (£537bn). smfg president yoshifumi nishikawa said that the companies needed to bolster their businesses.  both companies need to strengthen retail and other operations   he said  adding that  it s an issue we have in common . daiwa said that  although it is true that the two groups have been engaging in various discussions to enhance cooperation  there are no plans to enter into negotiations to consolidate the two businesses . analysts said that consolidation in japan s financial sector was likely to continue and that it was likely to have a positive impact on earnings.  cross-selling opportunities between banks and brokers are increasing thanks to deregulation  so we can expect the relationship to get even stronger   said heronry nozaki  an analyst at nikkocitigroup. the merger  would be a good move   he added.
